crop,disease,pathogen_type,organic_remedy,chemical_active_ingredient,dosage_per_liter,spray_interval_days,pre_harvest_interval_days,safety_precautions
apple,apple scab,Fungal,Sulfur 80% WDG / Potassium bicarbonate / Bacillus subtilis,Captan 50% WP or Difenoconazole 25% EC,2.5g/L (Captan) or 0.5ml/L (Difenoconazole),7-10,14,Wear full PPE with nitrile gloves and respirator mask. Avoid application during bloom stage to protect honeybees and pollinators.
apple,black rot,Fungal,Copper octanoate / Bordeaux mixture 1% / Trichoderma harzianum,Thiophanate-methyl 70% WP or Captan 50% WP,2.0g/L,10-14,14,Prune mummified fruit and dead wood in winter. Avoid spray drift into ponds and aquatic habitats.
apple,cedar apple rust,Fungal,Liquid copper fungicide / Elemental sulfur spray,Myclobutanil 20% WP or Mancozeb 75% WP,1.5g/L (Myclobutanil) or 2.5g/L (Mancozeb),7-10,14,Eradicate nearby eastern red cedar and juniper alternate hosts within 1-2 miles where feasible.
apple,healthy,None,Preventive compost tea / balanced organic mulch / foliar kelp,None (maintain balanced tree nutrition program),0,0,0,Routine orchard scouting. Maintain open canopy pruning for air circulation and light penetration.
blueberry,healthy,None,Pine bark mulch / elemental sulfur for pH 4.5-5.2 / drip irrigation,None (maintain soil acidity and drip fertigation),0,0,0,Soil pH testing twice yearly. Avoid overhead irrigation to prevent foliar disease.
cherry,powdery mildew,Fungal,Potassium bicarbonate / Cold-pressed Neem oil 0.5% / Sulfur 80% WDG,Tebuconazole 25.9% EC or Trifloxystrobin 50% WG,1.0ml/L (Tebuconazole) or 0.3g/L (Trifloxystrobin),10-14,7,Do not apply sulfur when temperatures exceed 32°C (89°F) to prevent phytotoxic foliar burn.
cherry,healthy,None,Dormant horticultural oil spray during winter / well-rotted compost,None (standard orchard sanitation and pruning),0,0,0,Annual dormant pruning. Monitor for fruit flies, aphids, and shot hole borer.
corn,gray leaf spot,Fungal,Bacillus amyloliquefaciens foliar spray / bio-fungicide,Azoxystrobin + Propiconazole (Quilt Xcel) or Pyraclostrobin 250 EC,1.0ml/L,14-21,30,Rotate crops out of corn for 1-2 years. Incorporate crop residues in high-risk conservation tillage fields.
corn,common rust,Fungal,Liquid copper octanoate / compost extract bio-spray,Mancozeb 75% WP or Pyraclostrobin 20% WG,2.0g/L (Mancozeb) or 0.8g/L (Pyraclostrobin),10-14,21,Apply at first sign of pustules on upper canopy. Do not feed treated forage to dairy animals before PHI.
corn,northern corn leaf blight,Fungal,Trichoderma viride seed treatment / Bacillus subtilis foliar spray,Propiconazole 25% EC or Azoxystrobin 23% SC,1.0ml/L,14,30,Avoid continuous corn-on-corn monoculture. Wear protective eyewear, face shield, and chemical-resistant gloves.
